Sexo_p0082,Mismo_jefedehogar_p1011,Etnia_p103,Sisben_p104,Tiempo(meses)_viviendaactual_p105,Electricidad_p201a,Medidor_electricidad_p202a,Electricidad_cocina_p204a,Gas_Natural_p201b,Gas_pipeta_p201c,Acueducto_p201d,Red_aguapotablep_p202d,Agua_acueducto_alimentos_p204d,Alcantarillado_p201e,Alcantarillado_remunicipal_p202e,Servsanitario_redmunicipal_p204e,Basuras_pp201f,Basuras_recoleecmunicipal_p202f,recoleecmunicipal_unicomedio_p204f,Material_vivienda_p206,Cuartos_piezas_p207,Forma_tenencia_p208,#hogares_x_vivienda_p2092,Edad_promedio_xhogar,Personas_xhogar,Ing _Total_xhogar ,Prome_Montoempleo_xhogar_p308ma,Prome_Montoindepen_xhogar_p308mb,Prome_Montonegocio_xhogar_p308mc,Prome_Montoayudas_xhogar_p308md,Prome_Montocasional_xhogar_p308mf,Prome_Montopension_xhogarp308me,%personas_noing_xhogar,%personas_actprincipal_trabajar,%personas_actprincipal_buscartrabajo,%personas_actprincipal_estudiar,%personas_actprincipal_oficioshogar,%personas_actprincipal_Otrasactivi,%personas_actsecundaria_trabajar,%personas_actsecundaria_buscartrabajo,%personas_actsecundaria_estudiar,%personas_actsecundaria_oficioshogar,%personas_actsecundaria_Otrasactivi,%personas_segsocial,Prome_a�oseducacion_xhogar,Meses_en_el_trabajo*_p4032,Situaciones_trabajo_p406,Preocu_alimen_x_dinero_p413,Sinalimen_x_dinero_p414,Curso_form_trab_p416,Curso_obte_mant_trabajo_p417,trabajo_propio_p418,Maltrato intrafamiliar en la zona
2.00,1.00,2.00,1.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,3.00,2.00,2.00,23.00,7.00,1200000.00,600000.00,0.00,0.00,0.00,0.00,0.00,0.71,0.29,0.00,0.29,0.00,0.14,0.00,0.00,0.00,0.14,0.57,0.00,5.00,0.00,0.00,1.00,1.00,1.00,2.00,2.00,1.00
2.00,2.00,1.00,1.00,12.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,3.00,1.00,23.00,4.00,600000.00,600000.00,0.00,0.00,0.00,0.00,0.00,0.75,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.25,0.25,0.25,2.00,0.00,0.00,1.00,1.00,2.00,0.00,2.00,1.00
2.00,2.00,4.00,1.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,20.00,7.00,200000.00,0.00,200000.00,0.00,0.00,0.00,0.00,0.71,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.00,480.00,4.00,2.00,1.00,2.00,0.00,2.00,0.00
2.00,2.00,4.00,1.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,27.00,5.00,843800.00,570000.00,100000.00,0.00,86900.00,0.00,0.00,0.20,0.40,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.20,5.00,2.00,4.00,1.00,2.00,2.00,0.00,2.00,1.00
2.00,2.00,4.00,1.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,20.00,3.00,90000.00,90000.00,0.00,0.00,0.00,0.00,0.00,0.33,0.67,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,9.00,36.00,2.00,1.00,1.00,2.00,0.00,2.00,1.00
2.00,1.00,4.00,1.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,2.00,18.00,6.00,550000.00,275000.00,0.00,0.00,0.00,0.00,0.00,0.67,0.33,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.33,0.17,0.00,3.00,12.00,3.00,1.00,1.00,2.00,0.00,1.00,1.00
2.00,2.00,1.00,1.00,4.00,1.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,3.00,1.00,16.00,4.00,70000.00,0.00,0.00,0.00,0.00,0.00,70000.00,0.75,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,6.00,0.00,0.00,1.00,1.00,2.00,0.00,2.00,1.00
2.00,1.00,4.00,1.00,122.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,1.00,1.00,53.00,5.00,1950000.00,650000.00,0.00,0.00,0.00,650000.00,0.00,0.40,0.20,0.00,0.20,0.40,0.20,0.00,0.00,0.00,0.20,0.80,0.60,5.00,0.00,0.00,2.00,2.00,1.00,2.00,2.00,1.00
1.00,1.00,2.00,6.00,48.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,1.00,51.00,6.00,1236000.00,0.00,0.00,0.00,0.00,618000.00,0.00,0.67,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.67,0.00,5.00,0.00,0.00,2.00,2.00,2.00,0.00,2.00,1.00
2.00,2.00,2.00,1.00,96.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,5.00,3.00,1.00,23.00,5.00,1300000.00,700000.00,600000.00,0.00,0.00,0.00,0.00,0.60,0.40,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.60,0.20,7.00,216.00,4.00,2.00,2.00,2.00,0.00,1.00,1.00
2.00,2.00,1.00,2.00,122.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,1.00,31.00,5.00,1650000.00,650000.00,500000.00,0.00,0.00,0.00,0.00,0.40,0.60,0.00,0.20,0.20,0.00,0.00,0.00,0.20,0.40,0.40,0.00,10.00,0.00,0.00,2.00,2.00,1.00,1.00,2.00,1.00
2.00,2.00,2.00,1.00,121.00,1.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,20.00,8.00,678000.00,618000.00,60000.00,0.00,0.00,0.00,0.00,0.75,0.25,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.13,0.50,0.13,6.00,240.00,4.00,1.00,2.00,2.00,0.00,2.00,1.00
2.00,2.00,4.00,1.00,12.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,1.00,20.00,3.00,620000.00,620000.00,0.00,0.00,0.00,0.00,0.00,0.67,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.67,0.00,4.00,0.00,0.00,2.00,2.00,2.00,0.00,2.00,1.00
2.00,2.00,4.00,1.00,72.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,2.00,1.00,35.00,3.00,618000.00,618000.00,0.00,0.00,0.00,0.00,0.00,0.67,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.67,0.33,4.00,0.00,0.00,1.00,1.00,2.00,0.00,2.00,1.00
2.00,2.00,4.00,1.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,1.00,22.00,7.00,1060000.00,410000.00,240000.00,0.00,0.00,0.00,0.00,0.57,0.43,0.00,0.14,0.00,0.00,0.14,0.00,0.00,0.14,0.29,0.14,3.00,24.00,2.00,1.00,1.00,2.00,0.00,1.00,1.00
2.00,2.00,7.00,3.00,121.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,24.00,5.00,1060000.00,300000.00,600000.00,0.00,80000.00,0.00,0.00,0.20,0.40,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.80,0.00,2.00,0.00,0.00,2.00,1.00,2.00,0.00,1.00,1.00
